2026-04-28 16:22:15,419 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/b301e384cd341b8321d519ee5b0a6030e52acba250bc3a1461c355be945546cf/?Action=DeleteMessage&Version=2012-11-05&ReceiptHandle=AQEBjFwWlfdZnTwZHJWlaRO3Ws7ZXptVqhYhSp9IGLMBmA4KTqjdRVo17DUplTlDtaRiGDvEv65Ui7YwfoBXntAR75WrO5VIEGjOtOrmXNXbUIDrUb34bmTtVTn07RUpexVOtuAhJWsrcoINtWs4xRu%2BDHZLN4pKzIKdl77cPbSNZXbfzZJUvDMR%2Fk0sDZUUVC9f3hWtGq67tV37rB%2BUehwtNpHdt6xwtFOsDQ2JIYXAIyttiJianQU7%2Byy5yfWclR7oqFHpm%2FUxgVQhlKerEnXni7rGczqe6xTNRbpxiefhuS68ayKC14WdtloyiH6KAmfo8N8DVMWyI268fMeKtJ78qJnFDce%2FG%2Bw9rqo73zgeQ5t3nnN0D3A6THsmJgvZcSPHpZAPpQskFKzI%2FXXPJMEeJaAhSIXn1gxLBOgbTItxipiO8MCSHNbVwOkqOG6fpJmnHeU97tI9fgbusCw72v25mQ%3D%3D [headers: {'x-amzn-RequestId': '3ef8d99e-f192-5f23-8a37-bbf41165b270', 'Date': 'Tue, 28 Apr 2026 16:22:15 GMT', 'Content-Type': 'text/xml', 'Content-Length': '215', 'connection': 'keep-alive'}]
2026-04-28 16:22:35,450 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/b301e384cd341b8321d519ee5b0a6030e52acba250bc3a1461c355be945546cf/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'cf723cd3-907b-5b0d-b140-5eb9708cefbe', 'Date': 'Tue, 28 Apr 2026 16:22:35 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-28 16:22:55,481 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/b301e384cd341b8321d519ee5b0a6030e52acba250bc3a1461c355be945546cf/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '54d6d298-b7f0-5569-a020-b0f256fbcc86', 'Date': 'Tue, 28 Apr 2026 16:22:55 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-28 16:23:15,505 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/b301e384cd341b8321d519ee5b0a6030e52acba250bc3a1461c355be945546cf/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'e4bbf366-0c95-5ca4-b936-910ced8aa88e', 'Date': 'Tue, 28 Apr 2026 16:23:15 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-28 16:23:35,532 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/b301e384cd341b8321d519ee5b0a6030e52acba250bc3a1461c355be945546cf/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '3e4d703c-417e-5a10-9b0a-1256a04dc962', 'Date': 'Tue, 28 Apr 2026 16:23:35 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-28 16:23:55,559 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/b301e384cd341b8321d519ee5b0a6030e52acba250bc3a1461c355be945546cf/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'e7201b05-a062-56a8-bff5-796f41253259', 'Date': 'Tue, 28 Apr 2026 16:23:55 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-28 16:24:15,591 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/b301e384cd341b8321d519ee5b0a6030e52acba250bc3a1461c355be945546cf/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '8c71ecd6-ecee-50a7-a5f9-8ebc0db50eec', 'Date': 'Tue, 28 Apr 2026 16:24:15 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-28 16:24:35,620 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/b301e384cd341b8321d519ee5b0a6030e52acba250bc3a1461c355be945546cf/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '35fec65c-7610-58e7-9d72-a436977f39cd', 'Date': 'Tue, 28 Apr 2026 16:24:35 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-28 16:24:55,646 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/b301e384cd341b8321d519ee5b0a6030e52acba250bc3a1461c355be945546cf/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '7f310dd1-0a05-5eff-9e87-6fbbeb86450f', 'Date': 'Tue, 28 Apr 2026 16:24:55 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-28 16:25:15,672 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/b301e384cd341b8321d519ee5b0a6030e52acba250bc3a1461c355be945546cf/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'e3c017c6-695a-5449-ac2e-75ac88cd1ffd', 'Date': 'Tue, 28 Apr 2026 16:25:15 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-28 16:25:35,701 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/b301e384cd341b8321d519ee5b0a6030e52acba250bc3a1461c355be945546cf/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'dadb42ef-26fd-5c0f-a36d-2085c75611a0', 'Date': 'Tue, 28 Apr 2026 16:25:35 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-28 16:25:55,738 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/b301e384cd341b8321d519ee5b0a6030e52acba250bc3a1461c355be945546cf/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '3d5b7d88-0a86-58b2-846f-1fe2eb391c78', 'Date': 'Tue, 28 Apr 2026 16:25:55 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-28 16:26:15,767 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/b301e384cd341b8321d519ee5b0a6030e52acba250bc3a1461c355be945546cf/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '70ba1f29-3ce0-5d4e-97c5-7d43dd33d404', 'Date': 'Tue, 28 Apr 2026 16:26:15 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-28 16:26:35,796 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/b301e384cd341b8321d519ee5b0a6030e52acba250bc3a1461c355be945546cf/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '427cc257-e7ee-5236-be17-a03d0609f8f9', 'Date': 'Tue, 28 Apr 2026 16:26:35 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
